id,title,series,author,genre,date_published,publisher,num_of_page,lang,review_count,rate,award
549,The Mystery of Revenge (Back Bay Investigation #0),"
        (Back Bay Investigation #0)
",G.X. Chen,"Mystery,Fiction",June 11th 2013,Tate Publishing & Enterprises,164,English,19,4.15,
550,The Circle,"
        (The Circle #1)
",Dave Eggers,"Fiction,Science Fiction,Science Fiction,Dystopia,Contemporary,Audiobook,Adult,Novels,Thriller,Science,Technology",October 8th 2013,Knopf,493,English,"23,853",3.44,"John W. Campbell Memorial Award Nominee (2014),Deutscher Jugendliteraturpreis Nominee for Preis der Jugendjury (2015),Dioraphte Jongerenliteratuurprijs Nominee (2014),Mary Shelley Award for Outstanding Fictional Work (2015),Andrew Carnegie Medal Nominee for Fiction (2014)"
551,NW,,Zadie Smith,"Fiction,Contemporary,Novels,Literary Fiction,European Literature,British Literature,Unfinished,Literature,Adult,Literature,21st Century",September 4th 2012,Hamish Hamilton,296,English,"3,660",3.47,"National Book Critics Circle Award Nominee for Fiction (2012),The Royal Society of Literature Ondaatje Prize Nominee (2013),Women's Prize for Fiction Nominee (2013)"
552,A Long Way Down,,Nick Hornby,"Fiction,Contemporary,Humor,Novels,European Literature,British Literature,Adult Fiction,Adult,Audiobook,Health,Mental Health",May 2nd 2006,"Riverhead Books

            ,",368,English,"5,219",3.44,Los Angeles Times Book Prize Nominee for Fiction (2005)
553,Forgotten Lore: Volume I,"
        (Forgotten Lore #1)
",Alexei Maxim Russell,,September 1st 2014,CreateSpace Independent Publishing Platform,290,English,2,4.29,
554,Whale Talk,,Chris Crutcher,"Young Adult,Sports,Sports,Fiction,Realistic Fiction,Young Adult,Teen,Contemporary,Academic,School,Literature,Banned Books,Young Adult,Coming Of Age",December 10th 2002,"Laurel Leaf

            ,",224,English,"1,192",3.97,"Rhode Island Teen Book Award Nominee (2002),California Young Readers Medal Nominee for Young Adult (2004),Washington State Book Award (2002),Missouri Gateway Readers Award Nominee (2004)"
555,Lights on the Sea,,"Miquel Reina,Catherine E. Nelson","Fiction,Fantasy,Magical Realism,Adventure,European Literature,Spanish Literature,Contemporary,Family,Cultural,Spain,Adult",September 25th 2018,"AmazonCrossing

            ,",272,English,489,3.97,
556,"Finale (Hush, Hush, #4)","
        (Hush, Hush #4)
",Becca Fitzpatrick,"Young Adult,Fantasy,Romance,Paranormal,Angels,Fantasy,Paranormal,Romance,Paranormal Romance,Fantasy,Supernatural,Fiction,Fantasy,Urban Fantasy",October 23rd 2012,"Simon & Schuster Books for Young Readers

            ,",464,English,"8,766",4.14,Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2012)
557,Billy Lynn's Long Halftime Walk,,Ben Fountain,"Fiction,War,Literary Fiction,Contemporary,Literature,Novels,War,Military Fiction,Audiobook,Sports,Sports",May 1st 2012,Ecco,307,English,"3,540",3.79,"Los Angeles Times Book Prize for Fiction (2012),Dayton Literary Peace Prize Nominee for Fiction (2013),National Book Critics Circle Award for Fiction (2012),Andrew Carnegie Medal Nominee for Fiction (2013),Chautauqua Prize Nominee (2013)"
558,Off the Grid: The Catalyst,,Brian  Courtney,"New Adult,Suspense,Thriller,Mystery,Modern,Young Adult,Speculative Fiction,Adventure,Literature,21st Century",March 24th 2015,"Self Published

            ,",270,English,29,4.18,
559,Seeing,"
        (Blindness #2)
","José Saramago,Margaret Jull Costa","Fiction,Literature,Cultural,Portugal,Science Fiction,Dystopia,Novels,European Literature,Portuguese Literature,Science Fiction,Nobel Prize,Contemporary",April 9th 2007,"Harvest Books

            ,",307,English,"1,883",3.83,Independent Foreign Fiction Prize Nominee for Longlist (2007)
560,"Requiem (Delirium, #3)","
        (Delirium #3)
",Lauren Oliver,"Young Adult,Science Fiction,Dystopia,Romance,Science Fiction,Fantasy,Fiction,Adventure,Young Adult,Teen,Audiobook",March 5th 2013,HarperCollins Children's Books,391,English,"13,414",3.74,Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2013)
561,Amatore's Restaurant,"
        (Amatore's Restaurant #1-3)
",James Sillwood,"Fiction,LGBT,Romance,LGBT,Lesbian,Short Stories",June 30th 2014,James Sillwood,344,English,40,4.2,
562,A Prisoner of Birth,,Jeffrey Archer,"Fiction,Thriller,Mystery,Mystery,Crime,Suspense,Thriller,Mystery Thriller,Drama,Audiobook,Novels",March 4th 2008,St. Martin's Press,501,English,"2,520",4.17,Prix Polar International (2009)
563,The Zombie Room,,R.D. Ronald,"Thriller,Fiction,Mystery,Mystery,Crime,Drama,Novels,Suspense,Contemporary,Dark",April 10th 2016,"Garden Heights Books

            ,",241,English,323,4.2,
564,Until I Find You,,John Irving,"Fiction,Contemporary,Literature,Novels,Literary Fiction,Drama,Literature,American,Young Adult,Coming Of Age,Unfinished",May 30th 2006,"Ballantine Books

            ,",820,English,"1,612",3.64,
565,The Prague Cemetery,,"Umberto Eco,Richard Dixon,Helinä Kangas","Fiction,Historical,Historical Fiction,Mystery,Literature,Historical,European Literature,Italian Literature,Novels,Cultural,Italy,Unfinished",November 8th 2011,"Houghton Mifflin Harcourt

            ,",445,English,"2,467",3.47,"Independent Foreign Fiction Prize Nominee (2012),Kniha roku (2011)"
